1.2,200,120,Age,AWD
4.6,450,161,23,AWD
10,270,167,47,RWD
4.7,400,181,47,AWD
6.8,360,206,28,RWD
9.5,170,168,61,RWD
2.8,610,180,22,AWD
9.6,190,168,49,FWD
8.1,275,164,41,FWD
5.6,310,153,60,RWD
6.3,400,193,43,AWD
5.1,370,216,47,AWD
7.9,220,164,34,FWD
7.9,400,160,43,FWD
4,450,178,74,RWD
9.7,250,153,50,FWD
7.9,440,175,16,RWD
2.8,375,223,69,AWD
11.9,195,166,43,FWD
8.2,220,193,23,FWD
7.3,185,156,32,FWD
8.1,275,164,57,FWD
5.1,425,171,63,AWD
10,290,179,47,RWD
3.5,425,197,48,AWD
3.4,435,167,33,AWD
7.5,420,183,28,RWD
9,350,166,31,RWD
4.9,375,200,49,AWD
7.3,235,161,39,RWD
8.5,250,180,45,FWD
6.8,280,231,18,AWD
7.8,370,173,74,FWD
11.4,315,165,49,FWD
3,750,267,65,AWD
9,180,178,53,FWD
7.3,325,172,46,FWD
7.5,270,193,32,FWD
6.5,425,181,39,RWD
9.5,310,168,39,FWD
5,350,171,15,AWD
3.8,515,184,73,AWD
9.9,255,154,58,FWD
5.7,380,228,50,AWD
12.3,195,166,23,FWD
12.3,195,166,50,FWD
7.9,365,175,66,FWD
7.3,335,173,37,FWD
4,365,195,68,AWD
10,575,104,23,AWD
9,335,188,28,FWD
5.7,365,237,58,AWD
2.1,970,206,67,AWD
8.5,255,176,62,FWD
8.8,420,183,24,RWD
4.6,450,211,68,AWD
8.3,170,168,26,RWD
8.7,250,180,65,FWD
12.6,130,164,40,RWD
9.7,250,180,60,FWD
2.5,505,188,34,AWD
11.4,255,161,38,FWD
3.7,410,177,24,AWD
7.6,440,198,67,FWD
4.8,365,232,45,AWD
7,450,200,60,RWD
4,425,197,68,AWD
14,190,200,29,FWD
5,460,261,17,AWD
22.4,160,194,54,FWD
6,430,209,18,AWD
6.9,230,165,70,RWD
7,400,193,28,AWD
3.5,385,217,24,AWD
5.5,390,244,41,AWD
9,225,156,31,FWD
9.8,235,167,26,FWD
6.3,410,188,36,AWD
12.7,95,176,26,RWD
6,340,206,19,AWD
3.2,390,215,32,AWD
7.3,340,171,60,RWD
2.8,440,216,64,AWD
11.6,100,167,32,RWD
6.6,360,194,38,RWD
10,330,273,47,FWD
9,250,168,59,FWD
7,390,256,51,RWD
6.8,295,219,69,AWD
6.2,400,193,37,AWD
9,320,181,50,RWD
4.5,320,270,62,AWD
11.9,95,176,41,RWD
7.9,365,175,29,FWD
5.7,420,207,42,AWD
9,250,168,56,FWD
7.3,340,171,36,RWD
9.9,230,170,58,FWD
7.5,325,222,56,RWD
7.5,330,191,20,FWD
4.5,335,258,15,AWD
5.9,325,194,31,AWD
5.1,375,232,45,AWD
7.5,400,238,28,AWD
,,,56,
,,,22,
,,,37,
,,,22,
,,,42,
,,,72,
,,,23,
,,,50,
,,,47,
,,,35,
,,,65,
,,,20,
,,,51,
,,,67,
,,,40,
,,,32,
,,,61,
,,,28,
,,,15,
,,,34,
,,,36,
,,,53,
,,,19,
,,,66,
,,,35,
,,,47,
,,,32,
,,,70,
,,,52,
,,,49,
,,,24,
,,,42,
,,,74,
,,,55,
,,,35,
,,,51,
,,,69,
,,,49,
,,,64,
,,,60,
,,,74,
,,,39,
,,,61,
,,,37,
,,,26,
,,,61,
,,,22,
,,,49,
,,,68,
,,,55,
,,,72,
,,,37,
,,,49,
,,,31,
,,,53,
,,,59,
,,,34,
,,,30,
,,,57,
,,,43,
,,,21,
,,,16,
,,,38,
,,,58,
,,,57,
,,,51,
,,,20,
,,,28,
,,,45,
,,,39,
,,,41,
,,,42,
,,,73,
,,,48,
,,,25,
,,,39,
,,,67,
,,,22,
,,,59,
,,,20,
,,,36,
,,,18,
,,,57,
,,,70,
,,,47,
,,,65,
,,,64,
,,,58,
,,,23,
,,,72,
,,,72,
,,,46,
,,,56,
,,,16,
,,,52,
,,,23,
,,,40,
